track_id,artists,tracks,artist_id,track_popularity,track_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0NA4ULVsnaQ0JhLT0fBxPA,2 Chainz,crack,17lzZA2AlOHwCwFALHttmp,37.0,,0.00623,0.849,0.642,0.0,0.0894,-4.853,0.276,144.07,0.0916
5tkDCf3xKRZjT5RbCb3sZB,2 Chainz,big amount,17lzZA2AlOHwCwFALHttmp,53.0,,0.0124,0.687,0.829,0.0,0.107,-4.204,0.26,133.854,0.154
5eqK0tbzUPo2SoeZsov04s,21 Savage,bank account,1URnnhqYAYcrqrcwql10ft,77.0,https://p.scdn.co/mp3-preview/f604f6987f32e3208b4b121b0ab85e15d51003da?cid=72c9f2b9d3344c91af50a24f4144228f,0.015,0.884,0.347,7e-06,0.0871,-8.227,0.35,75.016,0.376
,21 Savage, a lot,,,,,,,,,,,,
,21 Savage, ball w/o you,,,,,,,,,,,,
3cqZH3cqvfbV8wVbvHyPbG,21 Savage,red opps,1URnnhqYAYcrqrcwql10ft,61.0,https://p.scdn.co/mp3-preview/61482a8b1dda9ffcaf6b18e6e2082a8bf6bdaf40?cid=72c9f2b9d3344c91af50a24f4144228f,0.00908,0.703,0.709,0.0,0.127,-6.452,0.402,140.998,0.569
,21 Savage, can t leave without it,,,,,,,,,,,,
,21 Savage, monster,,,,,,,,,,,,
4IO8X9W69dIQe0EC5ALXhq,21 Savage,immortal,1URnnhqYAYcrqrcwql10ft,70.0,https://p.scdn.co/mp3-preview/e5dffe32645df3ea781c2fb4af4f06587b5c6337?cid=72c9f2b9d3344c91af50a24f4144228f,0.00813,0.741,0.87,0.0,0.114,-3.494,0.503,184.194,0.663
,21 Savage, all my friends,,,,,,,,,,,,
0G149jkGWKwrPXUGkEDgWM,21 Savage,numb,1URnnhqYAYcrqrcwql10ft,60.0,https://p.scdn.co/mp3-preview/bbfa4fab030f3fd958fd02fdf6cb773afeba7c8e?cid=72c9f2b9d3344c91af50a24f4144228f,0.0438,0.839,0.436,2.7e-06,0.131,-11.344,0.285,82.009,0.464
,21 Savage, asmr,,,,,,,,,,,,
,２８１４,lost in a dream,,,,,,,,,,,,
,2814,  (distant lovers),,,,,,,,,,,,
1jkuOkpviYuEGLIo4LPCgI,2CELLOS,bang bang,6Fi8CHfO8WGtu3yO8c2Mc4,30.0,https://p.scdn.co/mp3-preview/70c28c74755a7c60ac80fc52dc20b34dde1b69a3?cid=72c9f2b9d3344c91af50a24f4144228f,0.841,0.366,0.139,0.0276,0.165,-17.716,0.0479,101.401,0.243
1iqy3M9K1lmr0GXI0wOW41,2CELLOS,supermassive black hole,6Fi8CHfO8WGtu3yO8c2Mc4,36.0,https://p.scdn.co/mp3-preview/5322a3b7a817f75bad410b138cb635fea0a89891?cid=72c9f2b9d3344c91af50a24f4144228f,0.149,0.552,0.626,0.0458,0.49,-8.768,0.0307,124.052,0.51
63J1RStsmoVKXNTCHRNxii,2NE1,come back home,1l0mKo96Jh9HVYONcRl3Yp,57.0,https://p.scdn.co/mp3-preview/d05161dc1e8e4402a9968f36f948d2f39f6f6d8e?cid=72c9f2b9d3344c91af50a24f4144228f,0.155,0.572,0.84,0.0,0.638,-3.349,0.126,149.864,0.146
,2NE1,can t nobody (english version),,,,,,,,,,,,
,2NE1,come back home (unplugged version),,,,,,,,,,,,
,2Ne1,lonely (jp ver.),,,,,,,,,,,,
,2Pac,hit  em up,,,,,,,,,,,,
1ofhfV90EnYhEr7Un2fWiv,2Pac,changes,1ZwdS5xdxEREPySFridCfh,71.0,,0.0453,0.865,0.665,0.0,0.224,-6.289,0.073,111.113,0.331
0XRbYXQUymj9SJkrr8YK5B,2Pac,keep ya head up,1ZwdS5xdxEREPySFridCfh,69.0,,0.144,0.598,0.732,0.0,0.508,-7.013,0.425,172.329,0.595
2zoobJFEB9h15fjYjRd6oP,2Pac,hail mary,1ZwdS5xdxEREPySFridCfh,66.0,,0.158,0.772,0.644,4.14e-06,0.366,-6.318,0.265,82.05,0.388
6tDxrq4FxEL2q15y37tXT9,2Pac,dear mama,1ZwdS5xdxEREPySFridCfh,71.0,,0.371,0.773,0.54,0.0,0.131,-7.123,0.103,84.115,0.322
3ia3dJETSOllPsv3LJkE35,2Pac,california love,1ZwdS5xdxEREPySFridCfh,78.0,,0.0304,0.763,0.85,1.21e-06,0.371,-3.052,0.0417,91.519,0.761
5g9lS8deSIxItFBmZRC4vN,2Pac,ambitionz az a ridah,1ZwdS5xdxEREPySFridCfh,78.0,,0.00239,0.801,0.91,0.000891,0.0737,-6.566,0.225,87.277,0.805
4VQNCzfZ3MdHEwwErNXpBo,2Pac,all eyez on me,1ZwdS5xdxEREPySFridCfh,76.0,,0.0293,0.872,0.723,0.0,0.327,-5.968,0.247,93.279,0.843
1qZqFtSINOOmjYH1UE9805,2Pac,life goes on,1ZwdS5xdxEREPySFridCfh,58.0,,0.124,0.644,0.846,0.0,0.353,-5.443,0.275,79.182,0.503
6LwrEZNkvFTOypNwSLjuaJ,2Pac,2 of amerikaz most wanted,1ZwdS5xdxEREPySFridCfh,67.0,,0.0248,0.849,0.904,5.11e-05,0.0545,-4.78,0.138,99.258,0.854
3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,here without you,2RTUTCvo6onsAnheUk3aL9,75.0,,0.0492,0.557,0.533,0.0,0.205,-6.817,0.0252,143.994,0.233
6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,kryptonite,2RTUTCvo6onsAnheUk3aL9,78.0,,0.00664,0.545,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,0.543
,3 Doors Down,when i m gone,,,,,,,,,,,,
