track_id,artists,tracks,artist_id,track_popularity,track_url
0orDEh9TN4jkgnDIXJkXnN,10cc,The Worst Band In The World,6i6WlGzQtXtz7GcC5H5st5,37.0,
1fMGRxKRtIKNyaMMGrzInM,10cc,Good Morning Judge,6i6WlGzQtXtz7GcC5H5st5,54.0,
471eQ7hcJ7JdGY1NzMmUeg,12 Stones,World So Cold,0DrXhci3WAyo0WJv1RBOG6,55.0,
4lhqal0Hq63U2wETCeBdG1,12 Stones,We Are One,0DrXhci3WAyo0WJv1RBOG6,60.0,
6FFwt1ea9hJ4MfMQLywahm,12 Stones,Anthem For The Underdog,0DrXhci3WAyo0WJv1RBOG6,59.0,
3Yo9kEVE2UVSVFtxNXK2u2,12 Stones,Broken,0DrXhci3WAyo0WJv1RBOG6,51.0,
3X3mBkzuJ9GfQVFrDBI1HO,12 Stones,It Was You,0DrXhci3WAyo0WJv1RBOG6,42.0,
1fbLPjsAXq7gZPtOK9QCZU,12 Stones,Lie To Me,0DrXhci3WAyo0WJv1RBOG6,50.0,
6pd7MGEdSsaXwJblBVML31,12 Stones,The Way I Feel,0DrXhci3WAyo0WJv1RBOG6,42.0,
0487NR3smp6XWZxyq4DVww,12 Stones,Crash,0DrXhci3WAyo0WJv1RBOG6,50.0,
,12 Stones,We Are One (Picture Perfect Sessions),,,
,12 Stones,Lie to Me (Acoustic),,,
3G3cpknRLszl9vH9knbGHt,1200 Micrograms,Mescaline - Original Mix,2opB8qXyAmLYSGEZxp7X3U,29.0,https://p.scdn.co/mp3-preview/dc7361c57262ee2ce4e307e841185e47da86a6a0?cid=72c9f2b9d3344c91af50a24f4144228f
1c6j6uYwk6DwuqwFAzetz2,1200 Micrograms,Acid For Nothing - Original Mix,2opB8qXyAmLYSGEZxp7X3U,40.0,https://p.scdn.co/mp3-preview/3bbbaf138a7937e5f298d9e89463a275231251f7?cid=72c9f2b9d3344c91af50a24f4144228f
4rv7onMvXIywjbdYs0OI25,1200 Micrograms,LSD - Original Mix,2opB8qXyAmLYSGEZxp7X3U,29.0,https://p.scdn.co/mp3-preview/508fb2f520439c4209293ae07efa443adb52b7cd?cid=72c9f2b9d3344c91af50a24f4144228f
1npvnSIrXCHuKVYKS7KK4G,1200 Micrograms,Marijuana - Original Mix,2opB8qXyAmLYSGEZxp7X3U,20.0,https://p.scdn.co/mp3-preview/66975c0f6026c79f9916d300cbfee2125fe8ac38?cid=72c9f2b9d3344c91af50a24f4144228f
4ymwVkFk2V9N1fsmRYBtJa,1200 Micrograms,DMT - Original Mix,2opB8qXyAmLYSGEZxp7X3U,23.0,https://p.scdn.co/mp3-preview/5ee3cdb379f95aa8921066712cd183ff09d330f3?cid=72c9f2b9d3344c91af50a24f4144228f
4qrzgVfjMTVFUcPZRcuyYc,1200 Micrograms,Shiva's India - Outsiders Remix,2opB8qXyAmLYSGEZxp7X3U,32.0,https://p.scdn.co/mp3-preview/a5013860796a125087741196dbec88febbaf0aa8?cid=72c9f2b9d3344c91af50a24f4144228f
